"Country","perc_rural_w_nwap","perc_rural_w_wap","perc_urban_w_nwap","perc_urban_w_wap","perc_poor_w_nwap","perc_poor_w_wap","perc_rich_w_nwap","perc_rich_w_wap","region"
"Afghanistan",66,34,64,36,67,33,59,41,"Asia"
"Albania",58,42,59,41,61,39,54,46,"Europe"
"Algeria",59,41,60,40,59,41,60,40,"Africa"
"Angola",68,32,53,47,71,29,50,50,"Africa"
"Argentina",37,63,32,68,32,68,31,69,"Americas"
"Armenia",51,49,54,46,52,48,51,49,"Asia"
"Azerbaijan",55,45,55,45,56,44,52,48,"Asia"
"Bangladesh",35,65,40,60,35,65,38,62,"Asia"
"Belarus",39,61,32,68,44,56,29,71,"Europe"
"Belize",44,56,41,59,51,49,40,60,"Americas"
"Benin",60,40,58,42,62,38,59,41,"Africa"
"Bhutan",51,49,59,41,47,53,62,38,"Asia"
"Bolivia",40,60,42,58,40,60,48,52,"Americas"
"Bosnia and Herzegovina",53,47,51,49,56,44,48,52,"Europe"
"Botswana",35,65,36,64,38,62,38,62,"Africa"
"Brazil",34,66,28,72,28,72,27,73,"Americas"
"Bulgaria",35,65,27,73,38,62,26,74,"Europe"
"Burkina Faso",51,49,52,48,46,54,49,51,"Africa"
"Burundi",63,37,69,31,62,38,67,33,"Africa"
"Cabo Verde",45,55,38,62,53,47,33,67,"Africa"
"Cambodia",49,51,58,42,47,53,55,45,"Asia"
"Cameroon",62,38,54,46,71,29,52,48,"Africa"
"Central African Republic",68,32,47,53,70,30,44,56,"Africa"
"Chad",77,23,69,31,77,23,69,31,"Africa"
"China",26,74,26,74,23,77,27,73,"Asia"
"Colombia",29,71,32,68,29,71,33,67,"Americas"
"Comoros",64,36,57,43,59,41,67,33,"Africa"
"Congo",38,62,45,55,42,58,49,51,"Africa"
"Costa Rica",37,63,37,63,33,67,37,63,"Americas"
"Côte d'Ivoire",55,45,52,48,55,45,52,48,"Africa"
"Cuba",20,80,23,77,26,74,21,79,"Americas"
"Democratic People's Republic of Korea (North Korea)",30,70,40,60,24,76,40,60,"Asia"
"Democratic Republic of Congo",61,39,51,49,62,38,52,48,"Africa"
"Djibouti",83,17,62,38,66,34,76,24,"Africa"
"Dominican Republic",31,69,35,65,28,72,41,59,"Americas"
"Ecuador",30,70,38,62,30,70,37,63,"Americas"
"Egypt",44,56,53,47,48,52,49,51,"Africa"
"El Salvador",43,57,39,61,41,59,40,60,"Americas"
"Equatorial Guinea",64,36,57,43,65,35,57,43,"Africa"
"Eritrea",75,25,71,29,77,23,70,30,"Africa"
"Eswatini",39,61,31,69,37,63,35,65,"Africa"
"Ethiopia",56,44,64,36,56,44,62,38,"Africa"
"Fiji",56,44,45,55,48,52,62,38,"Oceania"
"Gabon",51,49,43,57,50,50,42,58,"Africa"
"Gambia",73,27,71,29,75,25,71,29,"Africa"
"Georgia",54,46,56,44,54,46,53,47,"Asia"
"Ghana",51,49,57,43,47,53,57,43,"Africa"
"Grenada",53,47,43,57,48,52,47,53,"Americas"
"Guatemala",51,49,48,52,53,47,46,54,"Americas"
"Guinea",72,28,66,34,74,26,63,37,"Africa"
"Guinea-Bissau",67,33,45,55,69,31,44,56,"Africa"
"Guyana",50,50,50,50,45,55,52,48,"Americas"
"Haiti",48,52,50,50,45,55,57,43,"Americas"
"Honduras",41,59,41,59,41,59,43,57,"Americas"
"India",49,51,48,52,53,47,46,54,"Asia"
"Indonesia",44,56,52,48,46,54,54,46,"Asia"
"Iran",39,61,38,62,47,53,34,66,"Asia"
"Iraq",57,43,54,46,55,45,58,42,"Asia"
"Jamaica",57,43,44,56,55,45,46,54,"Americas"
"Jordan",71,29,59,41,59,41,65,35,"Asia"
"Kazakhstan",47,53,46,54,48,52,44,56,"Asia"
"Kenya",43,57,41,59,47,53,44,56,"Africa"
"Kiribati",59,41,66,34,50,50,69,31,"Oceania"
"Kyrgyzstan",57,43,62,38,57,43,64,36,"Asia"
"Lao People's Democratic Republic",53,47,56,44,56,44,57,43,"Asia"
"Lebanon",68,32,64,36,71,29,62,38,"Asia"
"Lesotho",37,63,37,63,39,61,38,62,"Africa"
"Liberia",51,49,47,53,53,47,49,51,"Africa"
